leaf_width_cm,root_length_cm,days_to_harvest,variety
4.7,20.3,114,CARICASS I
4.5,27.4,133,CARICASS I
6.9,22.7,138,CARICASS III
5.5,25.5,126,CARICASS II
4.8,31.2,123,CARICASS I
7.0,30.8,130,CARICASS III
6.9,24.6,112,CARICASS III
5.7,28.1,137,CARICASS II
6.6,27.6,110,CARICASS III
4.6,29.5,129,CARICASS I
4.8,23.8,138,CARICASS I
6.1,28.8,130,CARICASS III
6.5,34.7,132,CARICASS III
6.6,27.3,110,CARICASS III
5.2,33.6,112,CARICASS I
6.7,26.5,127,CARICASS III
6.6,25.3,134,CARICASS III
6.8,29.7,119,CARICASS III
6.4,30.0,131,CARICASS III
6.0,33.0,135,CARICASS II
5.7,23.5,112,CARICASS II
5.1,27.5,117,CARICASS I
6.8,28.6,123,CARICASS III
6.9,31.5,133,CARICASS III
4.9,20.7,127,CARICASS I
4.9,34.9,124,CARICASS I
5.5,27.0,131,CARICASS II
5.3,24.2,132,CARICASS I
7.0,33.3,111,CARICASS III
4.5,31.2,136,CARICASS I
